target,tm_score_query_normalised,tm_score_alignment_normalised,lddt,identity,alignment_length,evalue,interpretation
P37840,0.1099,0.4678,0.3196,0.105,38,29.13,indistinguishable from random structure pairs
P05231,0.1085,0.7003,0.3297,0.068,29,13.77,indistinguishable from random structure pairs
P05067,0.1073,0.5349,0.3052,0.156,32,25.72,indistinguishable from random structure pairs
P02652,0.1066,0.4056,0.3025,0.159,44,22.99,indistinguishable from random structure pairs
O00468,0.106,0.1747,0.1795,0.133,142,2.811,indistinguishable from random structure pairs
P02743,0.1034,0.1794,0.1663,0.106,141,28.59,indistinguishable from random structure pairs
P02656,0.1033,0.5599,0.3452,0.222,36,27.77,indistinguishable from random structure pairs
O75923,0.103,0.4226,0.2273,0.129,54,20.03,indistinguishable from random structure pairs
P0DOX7,0.1025,0.2259,0.1773,0.074,108,7.704,indistinguishable from random structure pairs
Q9GZZ8,0.1005,0.4307,0.4143,0.084,59,21.02,indistinguishable from random structure pairs
P0DOX5,0.1001,0.1907,0.1662,0.13,107,29.13,indistinguishable from random structure pairs
P0DOX6,0.0988,0.2203,0.1624,0.13,107,29.13,indistinguishable from random structure pairs
P13647,0.0983,0.3447,0.3462,0.25,68,21.02,indistinguishable from random structure pairs
P02655,0.0961,0.3688,0.3715,0.169,59,25.72,indistinguishable from random structure pairs
P02748,0.0954,0.2973,0.1892,0.049,61,15.4,indistinguishable from random structure pairs
P62736,0.0919,0.1995,0.1684,0.086,92,2.352,indistinguishable from random structure pairs
O75056,0.091,0.2524,0.2867,0.205,39,27.19,indistinguishable from random structure pairs
P10997,0.0893,0.4014,0.3949,0.183,60,24.86,indistinguishable from random structure pairs
P60709,0.0892,0.2308,0.1817,0.102,98,2.216,indistinguishable from random structure pairs
P63261,0.0891,0.2298,0.1809,0.102,98,1.747,indistinguishable from random structure pairs
P35052,0.0872,0.2888,0.2209,0.317,41,6.846,indistinguishable from random structure pairs
P07339,0.0872,0.1416,0.1166,0.064,186,26.5,indistinguishable from random structure pairs
P02647,0.0861,0.3702,0.3667,0.16,56,29.07,indistinguishable from random structure pairs
P25311,0.0858,0.1607,0.1948,0.138,101,2.496,indistinguishable from random structure pairs
P02649,0.0851,0.3439,0.2479,0.155,45,15.4,indistinguishable from random structure pairs
P01011,0.0848,0.3158,0.1527,0.033,59,4.798,indistinguishable from random structure pairs
P01258,0.0841,0.2524,0.3564,0.2,75,23.95,indistinguishable from random structure pairs
O14960,0.0838,0.144,0.1581,0.08,112,7.262,indistinguishable from random structure pairs
Q9Y287,0.0827,0.3961,0.141,0.0,32,5.732,indistinguishable from random structure pairs
P01009,0.0826,0.3139,0.1964,0.066,105,1.462,indistinguishable from random structure pairs
P01160,0.0817,0.2924,0.3063,0.173,69,17.17,indistinguishable from random structure pairs
P06396,0.081,0.1752,0.2071,0.119,84,6.846,indistinguishable from random structure pairs
P01034,0.0807,0.1262,0.2358,0.1,190,21.02,indistinguishable from random structure pairs
P0DOX4,0.0797,0.2027,0.1743,0.086,104,29.13,indistinguishable from random structure pairs
P68104,0.0795,0.1256,0.1709,0.065,215,2.216,indistinguishable from random structure pairs
P34741,0.0789,0.3172,0.2698,0.212,47,13.77,indistinguishable from random structure pairs
P0DOX2,0.0755,0.1703,0.1696,0.123,97,29.13,indistinguishable from random structure pairs
P18827,0.0751,0.318,0.2495,0.17,47,13.01,indistinguishable from random structure pairs
P61769,0.0732,0.1428,0.1785,0.081,135,0.4452,indistinguishable from random structure pairs
A1E959,0.0693,0.4026,0.2795,0.095,42,29.07,indistinguishable from random structure pairs
P68871,0.0689,0.4723,0.2139,0.218,32,15.4,indistinguishable from random structure pairs
P61626,0.0687,0.5513,0.1891,0.38,21,19.05,indistinguishable from random structure pairs
P01308,0.0685,0.6783,0.3718,0.388,18,22.01,indistinguishable from random structure pairs
P46821,0.0678,0.3029,0.1344,0.047,21,7.704,indistinguishable from random structure pairs
P04279,0.0664,0.3705,0.3025,0.193,31,28.83,indistinguishable from random structure pairs
P02766,0.0664,0.2916,0.184,0.121,33,25.72,indistinguishable from random structure pairs
P02671,0.0663,0.2548,0.1767,0.193,31,29.13,indistinguishable from random structure pairs
P10636,0.0583,1.045,0.58,0.384,13,26.5,indistinguishable from random structure pairs
Q15582,0.0566,0.5467,0.2932,0.2,15,9.191,indistinguishable from random structure pairs
P0DJI8,0.0537,0.1955,0.2473,0.162,43,14.57,indistinguishable from random structure pairs
P05060,0.0532,0.1592,0.159,0.368,19,24.86,indistinguishable from random structure pairs
P0DJI9,0.0525,0.2045,0.2549,0.217,46,18.1,indistinguishable from random structure pairs
P07858,0.0512,0.2096,0.0785,0.142,21,26.5,indistinguishable from random structure pairs
P02533,0.0441,0.2325,0.1447,0.06,33,25.72,indistinguishable from random structure pairs
Q15517,0.0369,0.3805,0.1864,0.416,12,21.02,indistinguishable from random structure pairs
